year,indicator_code,scenario,trend_component,event_effect,forecast,lower,upper
2025,ACC_OWNERSHIP,Pessimistic,54.81684981685157,0.47666666666666674,55.29351648351824,49.67886257953279,60.90817038750369
2026,ACC_OWNERSHIP,Pessimistic,57.66117216117436,0.9533333333333335,58.614505494507696,52.54998615066885,64.67902483834654
2027,ACC_OWNERSHIP,Pessimistic,60.505494505496245,1.4300000000000004,61.935494505496244,55.452250619751084,68.4187383912414
2025,DIGITAL_PAYMENT,Pessimistic,37.83783783783838,1.7983333333333336,39.63617117117171,37.37295811594838,41.89938422639504
2026,DIGITAL_PAYMENT,Pessimistic,41.10810810810926,3.596666666666667,44.70477477477593,42.17442565525375,47.235123894298106
2027,DIGITAL_PAYMENT,Pessimistic,44.37837837837924,5.3950000000000005,49.77337837837924,47.00151979612797,52.54523696063051
2025,ACC_OWNERSHIP,Base,54.81684981685157,0.7333333333333334,55.55018315018491,49.93552924619946,61.164837054170356
2026,ACC_OWNERSHIP,Base,57.66117216117436,1.4666666666666668,59.12783882784103,53.063319484002186,65.19235817167987
2027,ACC_OWNERSHIP,Base,60.505494505496245,2.2,62.70549450549625,56.22225061975108,69.18873839124142
2025,DIGITAL_PAYMENT,Base,37.83783783783838,2.766666666666667,40.604504504505044,38.34129144928171,42.867717559728376
2026,DIGITAL_PAYMENT,Base,41.10810810810926,5.533333333333334,46.641441441442595,44.11109232192042,49.17179056096477
2027,DIGITAL_PAYMENT,Base,44.37837837837924,8.3,52.678378378379236,49.90651979612797,55.450236960630505
2025,ACC_OWNERSHIP,Optimistic,54.81684981685157,0.9900000000000002,55.806849816851575,50.192195912866126,61.42150372083702
2026,ACC_OWNERSHIP,Optimistic,57.66117216117436,1.9800000000000004,59.64117216117437,53.57665281733552,65.7056915050132
2027,ACC_OWNERSHIP,Optimistic,60.505494505496245,2.9700000000000006,63.47549450549624,56.992250619751076,69.95873839124141
2025,DIGITAL_PAYMENT,Optimistic,37.83783783783838,3.7350000000000008,41.57283783783838,39.309624782615046,43.83605089306171
2026,DIGITAL_PAYMENT,Optimistic,41.10810810810926,7.4700000000000015,48.57810810810926,46.047758988587084,51.10845722763144
2027,DIGITAL_PAYMENT,Optimistic,44.37837837837924,11.205000000000004,55.583378378379244,52.811519796127975,58.35523696063051
